时间, CPU使用率, 内存使用率
2026-02-27 13:39:11, 8.42%, 93.25%
2026-02-27 13:39:12, 24.94%, 93.26%
2026-02-27 13:39:13, 22.14%, 93.28%
2026-02-27 13:39:14, 14.39%, 93.28%
2026-02-27 13:39:15, 3.02%, 93.28%
2026-02-27 13:39:16, 2.78%, 93.29%
2026-02-27 13:39:17, 9.14%, 93.29%
2026-02-27 13:39:18, 7.85%, 93.28%
2026-02-27 13:39:19, 2.78%, 93.28%
2026-02-27 13:39:20, 2.79%, 93.21%
2026-02-27 13:39:21, 2.52%, 93.21%
2026-02-27 13:39:22, 3.54%, 93.23%
2026-02-27 13:39:23, 3.50%, 93.23%
2026-02-27 13:39:24, 3.02%, 93.13%
2026-02-27 13:39:25, 2.53%, 93.13%
2026-02-27 13:39:26, 8.08%, 93.14%
2026-02-27 13:39:27, 8.38%, 93.16%
2026-02-27 13:39:28, 7.59%, 93.17%
2026-02-27 13:39:29, 17.35%, 93.20%
2026-02-27 13:39:30, 3.27%, 93.20%
2026-02-27 13:39:31, 3.03%, 93.20%
2026-02-27 13:39:32, 2.78%, 93.21%
2026-02-27 13:39:33, 3.52%, 93.21%
2026-02-27 13:39:34, 13.27%, 93.24%
2026-02-27 13:39:35, 14.50%, 93.22%
2026-02-27 13:39:36, 33.67%, 93.20%
2026-02-27 13:39:37, 10.43%, 93.20%
2026-02-27 13:39:38, 9.90%, 93.21%
2026-02-27 13:39:39, 10.54%, 93.21%
2026-02-27 13:39:40, 14.62%, 93.18%
2026-02-27 13:39:41, 7.67%, 93.25%
2026-02-27 13:39:42, 3.26%, 93.25%
2026-02-27 13:39:43, 3.03%, 93.25%
2026-02-27 13:39:44, 3.27%, 93.25%
2026-02-27 13:39:45, 23.04%, 93.17%
2026-02-27 13:39:46, 3.02%, 93.15%
2026-02-27 13:39:47, 3.28%, 93.15%
2026-02-27 13:39:48, 4.27%, 93.16%
2026-02-27 13:39:49, 4.02%, 93.16%
2026-02-27 13:39:50, 2.79%, 93.16%
2026-02-27 13:39:51, 2.52%, 93.16%
2026-02-27 13:39:52, 2.52%, 93.16%
2026-02-27 13:39:53, 2.78%, 93.17%
2026-02-27 13:39:54, 3.02%, 93.15%
2026-02-27 13:39:55, 3.02%, 93.15%
